time,open,high,low,close,volume
2018-02-21 07:00:00,1.2336200000000002,1.23398,1.23098,1.23156,3509
2018-02-21 08:00:00,1.23156,1.23256,1.23076,1.23167,4181
2018-02-21 09:00:00,1.23168,1.23356,1.23092,1.23336,3148
2018-02-21 10:00:00,1.23337,1.23337,1.23145,1.23268,2823
2018-02-21 11:00:00,1.23271,1.23289,1.2314200000000002,1.2316,2321
2018-02-21 12:00:00,1.23154,1.23233,1.22999,1.2305,4833
2018-02-21 13:00:00,1.23049,1.23207,1.23001,1.23207,4452
2018-02-21 14:00:00,1.23204,1.23358,1.23182,1.23244,6311
2018-02-21 15:00:00,1.23245,1.2335200000000002,1.23144,1.23194,5369
2018-02-21 16:00:00,1.23194,1.23245,1.23036,1.23146,3893
2018-02-21 17:00:00,1.23146,1.23275,1.23112,1.2327,1701
2018-02-21 18:00:00,1.23271,1.23281,1.23174,1.2324700000000002,1739
2018-02-21 19:00:00,1.23244,1.236,1.22996,1.23024,15981
2018-02-21 20:00:00,1.23025,1.23025,1.22812,1.22906,5011
2018-02-21 21:00:00,1.22906,1.22994,1.2282600000000001,1.22854,1662
2018-02-21 22:00:00,1.2286,1.22862,1.2273399999999999,1.2275,1301
2018-02-21 23:00:00,1.2275,1.2285,1.2275,1.22804,764
2018-02-22 00:00:00,1.2281,1.22812,1.22654,1.22727,2007
2018-02-22 01:00:00,1.2273,1.22851,1.2268299999999999,1.2279,2672
2018-02-22 02:00:00,1.22789,1.2284,1.2276799999999999,1.22799,1513
2018-02-22 03:00:00,1.22799,1.22806,1.22726,1.22774,669
2018-02-22 04:00:00,1.22773,1.2279200000000001,1.2272299999999998,1.22733,816
2018-02-22 05:00:00,1.2273,1.22804,1.22714,1.2275,987
2018-02-22 06:00:00,1.2275,1.22803,1.2259799999999998,1.2266,1813
2018-02-22 07:00:00,1.22654,1.22793,1.22596,1.2273,3230
2018-02-22 08:00:00,1.22729,1.22882,1.2265,1.2283600000000001,3885
2018-02-22 09:00:00,1.2283600000000001,1.22959,1.2275399999999999,1.22938,4156
